title,release_year,language,genre,overview,vote_average,vote_count,popularity,cleaned_overview
Vuja de,2022,Französisch,Romanze,forced parent married young couple paris discover thing mature romance together,0.0,0.0,1.417,forced parent married young couple paris discover thing mature romance together
In the Name of the Land,2019,Französisch,Drama,pierre 25 return wyoming fiance take family farm twenty year later farm expanded family,7.192,307.0,5.807,pierre return wyoming fiance take family farm twenty year later farm expanded family
L'Esprit de famille,2020,Französisch,Humor,writer must face sudden death father burial latter reappears learn live facetious companion difficult explain situation family one see disturbing presence create earthquake family,5.528,54.0,3.29,writer must face sudden death father burial latter reappears learn live facetious companion difficult explain situation family one see disturbing presence create earthquake family
"Signoret et Montand, Monroe et Miller : Deux couples à Hollywood",2020,Französisch,Romanze,january 1960 yves montand simone signoret one famous star couple day tour united state yves montand triumphed country biggest stage simone signoret distinguished room top win oscar met arthur miller writer playwright time husband marilyn monroe world star height fame beauty yves montand marilyn monroe fell love actress everything could make film frenchman met set film let make love,7.9,4.0,2.428,january yves montand simone signoret one famous star couple day tour united state yves montand triumphed country biggest stage simone signoret distinguished room top win oscar met arthur miller writer playwright time husband marilyn monroe world star height fame beauty yves montand marilyn monroe fell love actress everything could make film frenchman met set film let make love
Strangers by Night,2023,Französisch,Drama,crowded subway train woman push argue little joust bark loudly lack charm later corridor station two stranger make love awkwardly booth photo booth last surface say goodbye,6.3,58.0,8.379,crowded subway train woman push argue little joust bark loudly lack charm later corridor station two stranger make love awkwardly booth photo booth last surface say goodbye
Arrête ton cinéma !,2016,Französisch,Humor,sybille accomplished actress given chance direct film based screenplay everything seems go well first producer two sister two wacky lovable character sybille dive adventure putting aside family life unlikely choice actress successive rewrite script financial issue wonderful dream turn nightmare ever optimist sybille realise late whimsical totally crazy producer going drag madness one thing certain nothing happen planned,4.6,41.0,2.254,sybille accomplished actress given chance direct film based screenplay everything seems go well first producer two sister two wacky lovable character sybille dive adventure putting aside family life unlikely choice actress successive rewrite script financial issue wonderful dream turn nightmare ever optimist sybille realise late whimsical totally crazy producer going drag madness one thing certain nothing happen planned
One Summer,2023,Französisch,Drama,25 year marc ct street chaplain parish priest lived poor homeless today marc wornout exhausted running church serf shelter overwhelmed bill longer pay marc must face fact shut church like call providence inherits property basdufleuve region decides take group homeless people like need vacation,7.4,5.0,3.862,year marc ct street chaplain parish priest lived poor homeless today marc wornout exhausted running church serf shelter overwhelmed bill longer pay marc must face fact shut church like call providence inherits property basdufleuve region decides take group homeless people like need vacation
Revenge,2018,Französisch,Horror,jens romantic getaway wealthy married boyfriend disrupted friend arrive impromptu hunting trip tension mount house situation culminates unexpected way,6.462,1721.0,29.407,jens romantic getaway wealthy married boyfriend disrupted friend arrive impromptu hunting trip tension mount house situation culminates unexpected way
Francofonia,2015,Französisch,Drama,master filmmaker alexander sokurov russian ark transforms portrait worldrenowned museum magisterial centuriesspanning reflection relation art culture power,6.604,72.0,3.215,master filmmaker alexander sokurov russian ark transforms portrait worldrenowned museum magisterial centuriesspanning reflection relation art culture power
Jumbo,2020,Französisch,Romanze,jeanne shy young woman work night guard amusement park close relationship mother compete opposed duo jeanne begin develop strange romantic feeling jumbo latest attraction theme park,5.7,63.0,6.156,jeanne shy young woman work night guard amusement park close relationship mother compete opposed duo jeanne begin develop strange romantic feeling jumbo latest attraction theme park
The Sense of Wonder,2015,Französisch,Romanze,louise widow two child almost crush stranger car take care even he really wounded turn mental disorder help much thought,6.8,278.0,10.291,louise widow two child almost crush stranger car take care even really wounded turn mental disorder help much thought
My Life as a Zucchini,2016,Französisch,Drama,mother death zucchini befriended kind police officer raymond accompanies new foster home filled orphan age help newfound friend zucchini eventually learns trust love search new family,7.809,1334.0,11.581,mother death zucchini befriended kind police officer raymond accompanies new foster home filled orphan age help newfound friend zucchini eventually learns trust love search new family
Battle of the Classes,2019,Französisch,Humor,everyone know child make difference social class skin color religion corentin paul sofia nineyearold son friend like bagnolets school friend leave private school paris parent frightened corentin one class,5.895,291.0,5.521,everyone know child make difference social class skin color religion corentin paul sofia nineyearold son friend like bagnolets school friend leave private school paris parent frightened corentin one class
Le prix de l’ascension,2023,Französisch,Humor,throughout history power always fascinated always aroused desire following respective path two young graduate national school administration laurent brice one truly becomes aware race power implies meteoric rise low blow ego idea duel important two protagonist succeed asserting survive political medium jungle ultrarealistic funny biting discover surprising power comedy recent year,0.0,0.0,3.621,throughout history power always fascinated always aroused desire following respective path two young graduate national school administration laurent brice one truly becomes aware race power implies meteoric rise low blow ego idea duel important two protagonist succeed asserting survive political medium jungle ultrarealistic funny biting discover surprising power comedy recent year
Brain Freeze,2021,Französisch,Humor,fertilizer used rich gated community becomes source genetic mutation transforms resident zombie teenager baby sister break free quarantined island turning grass,6.403,36.0,11.551,fertilizer used rich gated community becomes source genetic mutation transforms resident zombie teenager baby sister break free quarantined island turning grass
Les Bodin's en Thaïlande,2021,Französisch,Humor,christian bodin mother maria bodin set adventure land smile meet many zany character face several obstacle along journey thailand,6.1,45.0,3.115,christian bodin mother maria bodin set adventure land smile meet many zany character face several obstacle along journey thailand
Dream,2022,Französisch,Horror,tronce 25 year old depression find stability medication addicted one morning wake led voice head asks kill 3 people midnight get effect medication back,0.0,0.0,0.028,tronce year old depression find stability medication addicted one morning wake led voice head asks kill people midnight get effect medication back
How to Be a Good Wife,2020,Französisch,Humor,paulette van beck husband running housekeeping school bitche alsace many year mission train teenage girl become perfect housewife time woman expected subservient husband sudden death husband paulette discovers school verge bankruptcy take responsibility preparation underway best housekeeping competition tv show lively student start questioning belief nationwide protest may 1968 transform society around reunited first love andr help eccentric stepsister gilberte strict marietherese paulette join force schoolgirl overcome suppressed status become liberated woman,5.766,218.0,8.962,paulette van beck husband running housekeeping school bitche alsace many year mission train teenage girl become perfect housewife time woman expected subservient husband sudden death husband paulette discovers school verge bankruptcy take responsibility preparation underway best housekeeping competition tv show lively student start questioning belief nationwide protest may transform society around reunited first love andr help eccentric stepsister gilberte strict marietherese paulette join force schoolgirl overcome suppressed status become liberated woman
Territory of Love,2018,Französisch,Romanze,maria 30 impatient restless speaks 5 language taipei meet olivier shy slow speak 14 language fall love suddenly news explodes story true story,6.6,14.0,1.461,maria impatient restless speaks language taipei meet olivier shy slow speak language fall love suddenly news explodes story true story
The Braves,2022,Französisch,Drama,best friend alma margot inseparable whether terrorizing cheating lover crashing wedding party two woman share dream successful career stage get one step closer cast lead understudy highprofile play paris alma keeping secret put role jeopardy unwavering support margot try best ensure show go,7.115,39.0,2.672,best friend alma margot inseparable whether terrorizing cheating lover crashing wedding party two woman share dream successful career stage get one step closer cast lead understudy highprofile play paris alma keeping secret put role jeopardy unwavering support margot try best ensure show go
The (Ex)perience of Love,2023,Französisch,Romanze,remy sandra cant child suffer past love syndrome heal one solution must sleep ex,6.0,24.0,2.427,remy sandra cant child suffer past love syndrome heal one solution must sleep ex
Simply Black,2020,Französisch,Humor,failed 40 year old comedian want organize first black protest france meeting french celebrity black community make whole new adventure,5.851,412.0,7.766,failed year old comedian want organize first black protest france meeting french celebrity black community make whole new adventure
In the Shadow of Women,2015,Französisch,Romanze,pierre manon poor make documentary nothing live odd job pierre meet young intern elisabeth becomes mistress pierre leave manon elisabeth want keep,5.6,48.0,4.042,pierre manon poor make documentary nothing live odd job pierre meet young intern elisabeth becomes mistress pierre leave manon elisabeth want keep
The Ideal Palace,2019,Französisch,Drama,follows joseph ferdinand chavel french postman built palace french countryside 33 year,6.9,134.0,6.075,follows joseph ferdinand chavel french postman built palace french countryside year
A Bag of Marbles,2017,Französisch,Drama,beginning 1940s france occupied nazi force lived jewish joffo family happy tightknit see future darken member family forced wear yellow star fearing worst parent organized family flee free zone south country maurice twelve year old joseph ten year old therefore leave alone order maximize chance finding older brother already settled nice brother left device demonstrate incredible amount cleverness courage ingenuity escape enemy invasion try reunite family,7.8,842.0,9.751,beginning france occupied nazi force lived jewish joffo family happy tightknit see future darken member family forced wear yellow star fearing worst parent organized family flee free zone south country maurice twelve year old joseph ten year old therefore leave alone order maximize chance finding older brother already settled nice brother left device demonstrate incredible amount cleverness courage ingenuity escape enemy invasion try reunite family
The Sixth Child,2022,Französisch,Romanze,franck scrap merchant meriem five child sixth go serious money issue julien anna lawyer cannot child story inconceivable agreement,6.702,47.0,2.664,franck scrap merchant meriem five child sixth go serious money issue julien anna lawyer cannot child story inconceivable agreement
Valse with Emptiness,2023,Französisch,Horror,another night mr shrimp face demon,0.0,0.0,0.347,another night mr shrimp face demon
Rabbids Invasion - Mission To Mars,2021,Französisch,Humor,nebulous industry announces recruiting rabbids mission mar hibernation rabbid doesnt think twice genius rabbid misunderstood stupid peer always dreamed going red planet take three rabbids disco lively queen dancefloor cosmo pilot mini adorable tiny rabbid facing interplanetary space threat hero learn overcome difference understand true wisdom come heart,6.3,37.0,8.791,nebulous industry announces recruiting rabbids mission mar hibernation rabbid doesnt think twice genius rabbid misunderstood stupid peer always dreamed going red planet take three rabbids disco lively queen dancefloor cosmo pilot mini adorable tiny rabbid facing interplanetary space threat hero learn overcome difference understand true wisdom come heart
The Climb,2017,Französisch,Humor,true story samy native la courneuve love nadia decides climb mount everest,6.708,848.0,8.685,true story samy native la courneuve love nadia decides climb mount everest
The Ego Death,2022,Französisch,Horror,cineessay ego death consciousness rebirth,0.0,0.0,2.0,cineessay ego death consciousness rebirth
The Takedown,2022,Französisch,Humor,ousmane diakit franois monge two cop different style background career unlikely pair reunited new investigation take across france seemed simple drug deal turn much bigger criminal case wrapped danger unexpected comedy,5.991,465.0,11.501,ousmane diakit franois monge two cop different style background career unlikely pair reunited new investigation take across france seemed simple drug deal turn much bigger criminal case wrapped danger unexpected comedy
Loose Connection,2022,Französisch,Action,faux contact suspenseful roadtrip alternate humor anguish emotion taking viewer one emotion next,10.0,1.0,0.381,faux contact suspenseful roadtrip alternate humor anguish emotion taking viewer one emotion next
Paranormal Investigation,2018,Französisch,Horror,ghost hunter investigates evil spirit dwelling within young reportedly became possessed playing ouija board,4.5,44.0,3.952,ghost hunter investigates evil spirit dwelling within young reportedly became possessed playing ouija board
The Charge of Texel,2023,Französisch,Drama,1795 holland french vanguard pushing towards north strong blizzard beyond enemy line head cavalry major lahure learns british fleet seeking escape england trapped ice coast prepares one boldest venture time,7.0,1.0,2.922,holland french vanguard pushing towards north strong blizzard beyond enemy line head cavalry major lahure learns british fleet seeking escape england trapped ice coast prepares one boldest venture time
Les Secrets de la princesse de Cadignan,2023,Französisch,Romanze,juan woman according expression balzac princess great seductress diabolical intelligence woman many lover almost male character comdie humaine finally find love real one great one,3.7,6.0,4.337,juan woman according expression balzac princess great seductress diabolical intelligence woman many lover almost male character comdie humaine finally find love real one great one
It's Love,2016,Französisch,Romanze,odile suspect husband jean cheating thus decides give taste medicine fate get touch actor daniel use revenge actor living former serviceman albert make love unexpected consequence odile daniel bound forever irrepressible love,4.6,9.0,0.668,odile suspect husband jean cheating thus decides give taste medicine fate get touch actor daniel use revenge actor living former serviceman albert make love unexpected consequence odile daniel bound forever irrepressible love
Orphan,2017,Französisch,Drama,young woman move paris brush disaster grownup last accomplished woman thought safe past gradually character come together form single heroine,5.447,103.0,7.734,young woman move paris brush disaster grownup last accomplished woman thought safe past gradually character come together form single heroine
Little Spirou,2017,Französisch,Humor,petit spirou like family career destiny traced mother announces integrate groom school beginning new school year petit spirou help friend take advantage last day class declare love suzette matter decide live extraordinary adventure,5.198,91.0,7.297,petit spirou like family career destiny traced mother announces integrate groom school beginning new school year petit spirou help friend take advantage last day class declare love suzette matter decide live extraordinary adventure
Already 20 years of Caméra Café,2023,Französisch,Humor,irrelevant 20 company jeanclaude fired herv charged management make jeanclaude clear quickly without scene tear memory mixing great small history past 20 year course memory herv jeanclaude renew bond lost friendship,5.5,9.0,2.274,irrelevant company jeanclaude fired herv charged management make jeanclaude clear quickly without scene tear memory mixing great small history past year course memory herv jeanclaude renew bond lost friendship
Stigmate,2020,Französisch,Horror,france 1350 midst black plague monk return monastery long pilgrimage struggle readjust find place intruder break monastery discovers late new evil followed back,0.0,0.0,0.149,france midst black plague monk return monastery long pilgrimage struggle readjust find place intruder break monastery discovers late new evil followed back
Humanist Vampire Seeking Consenting Suicidal Person,2023,Französisch,Romanze,sasha young vampire serious problem shes sensitive kill exasperated parent cut blood supply sashas life jeopardy luckily meet paul lonely teenager suicidal tendency willing give life save friendly agreement soon becomes nocturnal quest fulfill paul last wish day break,7.6,122.0,13.929,sasha young vampire serious problem shes sensitive kill exasperated parent cut blood supply sashas life jeopardy luckily meet paul lonely teenager suicidal tendency willing give life save friendly agreement soon becomes nocturnal quest fulfill paul last wish day break
Fujisan,2022,Französisch,Romanze,sequel short film minori 2019,6.667,6.0,0.544,sequel short film minori
Jeune Juliette,2019,Französisch,Humor,fourteenyear old juliette life country father older brother juliette younger mother left family pursue career new york moment juliette started gain weight today shes obese shes clearly heaviest girl high school doesnt stop vivacious funny unrepentantly rebellious juliette big dream want throw best party move new york live mother date gorgeous guy school older boy graduate short want everything cant havewhich sometimes make forget appreciate really love follow brazen endearing girl hectic last week summer vacation watch growing upbut much,5.9,22.0,1.951,fourteenyear old juliette life country father older brother juliette younger mother left family pursue career new york moment juliette started gain weight today shes obese shes clearly heaviest girl high school doesnt stop vivacious funny unrepentantly rebellious juliette big dream want throw best party move new york live mother date gorgeous guy school older boy graduate short want everything cant havewhich sometimes make forget appreciate really love follow brazen endearing girl hectic last week summer vacation watch growing upbut much
The No-Job Agency,2016,Französisch,Humor,stphane cathy thierry best employee employment agency city result good agency close lack unemployed three colleague crazy idea creating unemployment save job,4.621,198.0,5.583,stphane cathy thierry best employee employment agency city result good agency close lack unemployed three colleague crazy idea creating unemployment save job
A Brother’s Love,2019,Französisch,Drama,sophia brilliant doctoral student always maintained symbiotic relationship brother karim arrival new lover karims life significantly alters dynamic,6.462,79.0,5.733,sophia brilliant doctoral student always maintained symbiotic relationship brother karim arrival new lover karims life significantly alters dynamic
Times Square,2022,Französisch,Humor,story badtempered battered actor fond whiskey coach beginner actress audition romeo juliet fictitious audition meeting arranged engineered actor brother want regain taste profession,7.0,2.0,2.059,story badtempered battered actor fond whiskey coach beginner actress audition romeo juliet fictitious audition meeting arranged engineered actor brother want regain taste profession
Rebels,2019,Französisch,Humor,sandra young woman forced leave south france flee violent husband without attachment returned boulognesurmer city childhood left almost 15 year ago find mother world left behind without money hired fish cannery befriends two worker one day one colleague tackle insistently defends kill accidentally,6.122,320.0,4.935,sandra young woman forced leave south france flee violent husband without attachment returned boulognesurmer city childhood left almost year ago find mother world left behind without money hired fish cannery befriends two worker one day one colleague tackle insistently defends kill accidentally
Clap,2023,Französisch,Romanze,distortion reality nova joined partner body intertwine flowing become unrecognizable organic mass,0.0,0.0,0.352,distortion reality nova joined partner body intertwine flowing become unrecognizable organic mass
At the Other End of the Table,2019,Französisch,Romanze,communication complicated try talk seems unreachable unimaginable shes right side table try talk time communication one great leitmotif,7.0,1.0,0.199,communication complicated try talk seems unreachable unimaginable shes right side table try talk time communication one great leitmotif
After Love,2016,Französisch,Drama,marie boris decide get divorce 15 year marriage tension rise cashstrapped boris must continue live marie two child trying figure divide asset,6.1,115.0,6.842,marie boris decide get divorce year marriage tension rise cashstrapped boris must continue live marie two child trying figure divide asset
Smoking Causes Coughing,2022,Französisch,Humor,devastating battle diabolical turtle team five avenger known tobacco force sent mandatory retreat strengthen decaying group cohesion sojourn go wonderfully well lzardin emperor evil decides annihilate planet earth,6.203,318.0,11.106,devastating battle diabolical turtle team five avenger known tobacco force sent mandatory retreat strengthen decaying group cohesion sojourn go wonderfully well lzardin emperor evil decides annihilate planet earth
Odd Job,2016,Französisch,Action,unemployed factory worker take job hit make end meet,6.124,182.0,6.625,unemployed factory worker take job hit make end meet
Synonyms,2019,Französisch,Humor,young israeli absconds paris flee nationality aided trusty francoisraeli dictionary,5.8,125.0,5.75,young israeli absconds paris flee nationality aided trusty francoisraeli dictionary
Visitor,2020,Französisch,Horror,morning raining outside emma home alone mom working phone ring nobody line,0.0,0.0,0.05,morning raining outside emma home alone mom working phone ring nobody line
Gloria Mundi,2019,Französisch,Drama,daniel leaf prison return marseille mathilda daughter given birth nicolas spouse selfemployed driver exhausted mathilda sale assistant trial basis one night nicolas assaulted taxi driver determined reduce unfair competition,6.403,93.0,5.998,daniel leaf prison return marseille mathilda daughter given birth nicolas spouse selfemployed driver exhausted mathilda sale assistant trial basis one night nicolas assaulted taxi driver determined reduce unfair competition
Islands,2017,Französisch,Romanze,sexual reverie unfolds course one ethereal night character wander erotic maze love lust blurring line wet dream lucid nightmare macabre erotic stage performance sends ripple lustful desire audience performer,4.2,21.0,4.841,sexual reverie unfolds course one ethereal night character wander erotic maze love lust blurring line wet dream lucid nightmare macabre erotic stage performance sends ripple lustful desire audience performer
Wolf,2022,Französisch,Horror,margot young woman treated poorly bourgeois family stepfather cruel mother look way younger brother spoiled start rebel family peaceful existence shattered,0.0,0.0,0.129,margot young woman treated poorly bourgeois family stepfather cruel mother look way younger brother spoiled start rebel family peaceful existence shattered
The Room,2017,Französisch,Horror,young pickpocket work street lyon every night brings booty strange masked face h start asking money,0.0,0.0,0.178,young pickpocket work street lyon every night brings booty strange masked face h start asking money
Passages,2023,Französisch,Romanze,tomas martin gay couple living paris whose marriage thrown crisis tomas impulsively begin passionate affair young schoolteacher agathe martin begin affair tomas must confront life decision may unpreparedor unwillingto deal,6.383,163.0,11.726,tomas martin gay couple living paris whose marriage thrown crisis tomas impulsively begin passionate affair young schoolteacher agathe martin begin affair tomas must confront life decision may unpreparedor unwillingto deal
The Summer of All My Parents,2016,Französisch,Drama,attempting set mailbox fire pimpette 14 elder sister josphine 18 spend summer holiday shuttling secretly pregnant mom bachelor father josphine get involved wrong crowd little pimpette turn responsible grownup spend time educating,5.0,56.0,2.338,attempting set mailbox fire pimpette elder sister josphine spend summer holiday shuttling secretly pregnant mom bachelor father josphine get involved wrong crowd little pimpette turn responsible grownup spend time educating
Classico,2022,Französisch,Humor,sami work childrens home set closed young enthusiastic stadium usher convinced president olympique de marseille football club help keep open,4.859,71.0,6.749,sami work childrens home set closed young enthusiastic stadium usher convinced president olympique de marseille football club help keep open
Who's Up?,2015,Französisch,Romanze,first date never easy first date dream girl get complicated imagine first date dream girl youre broke,7.0,3.0,0.406,first date never easy first date dream girl get complicated imagine first date dream girl youre broke
The Revenge of the Shiny Shrimps,2022,Französisch,Humor,two year death jean matthias coach decides take selime young suburb belief gay accompany shiny shrimp gay game tokyo trip pay tribute friend left early miss connection find stranded russia one gayfriendly region world start crazy adventure incredible perilous,6.552,86.0,4.859,two year death jean matthias coach decides take selime young suburb belief gay accompany shiny shrimp gay game tokyo trip pay tribute friend left early miss connection find stranded russia one gayfriendly region world start crazy adventure incredible perilous
The Boss's Daughter,2015,Französisch,Humor,40yearold foreman vital chosen alix 25 guinea pig anonymous study carrying father factory boss daughter soon find falling spell reserved enigmatic worker begin open revealing dream another life,5.17,88.0,6.226,yearold foreman vital chosen alix guinea pig anonymous study carrying father factory bos daughter soon find falling spell reserved enigmatic worker begin open revealing dream another life
Eiffel,2021,Französisch,Drama,french government asking gustave eiffel design something spectacular 1889 paris world fair simply want design subwayuntil cross path mysterious woman past,6.274,647.0,7.194,french government asking gustave eiffel design something spectacular paris world fair simply want design subwayuntil cross path mysterious woman past
Sanctuary,2015,Französisch,Drama,mid1980s gal spanish paramilitary group pursues assassinates member terrorist gang eta taken refuge sanctuary created south france grgoire fortin advisor french minister justice domingo txomin iturbe leader eta forced negotiate order find solution violence plague region,7.167,9.0,2.137,mids gal spanish paramilitary group pursues assassinates member terrorist gang eta taken refuge sanctuary created south france grgoire fortin advisor french minister justice domingo txomin iturbe leader eta forced negotiate order find solution violence plague region
Venice Calling,2019,Französisch,Drama,emile fifteen life montargis sweetcrazy father mother always dyed hair blond seems beautiful like girl pleases anything invite venice holiday overjoyed problem parent decide accompany story teenager born unclassifiable family story first love miraculous fragile story initiatory incredible journey life often take unawares venice rendezvous,5.912,226.0,6.708,emile fifteen life montargis sweetcrazy father mother always dyed hair blond seems beautiful like girl pleases anything invite venice holiday overjoyed problem parent decide accompany story teenager born unclassifiable family story first love miraculous fragile story initiatory incredible journey life often take unawares venice rendezvous
69SEC,2016,Französisch,Romanze,story love seen square couple get united separated rearranged special kind puzzle,0.0,0.0,0.008,story love seen square couple get united separated rearranged special kind puzzle
Little Red Hen,2023,Französisch,Horror,dealing mental health story follows valrie way important meeting turn real nightmare,0.0,0.0,0.374,dealing mental health story follows valrie way important meeting turn real nightmare
LILAC,2019,Französisch,Horror,frenchman life alone prepares dinner celebration mother birthday,0.0,0.0,0.076,frenchman life alone prepares dinner celebration mother birthday
Septembre,2020,Französisch,Romanze,heartbroken laurent visit friend etienne hope spirit lifted,10.0,1.0,0.888,heartbroken laurent visit friend etienne hope spirit lifted
My Internship in Canada,2015,Französisch,Humor,guibord independent member parliament represents prescottmakadewrapidesaux outardes vast county northern quebec entire country watch guibord unwillingly find awkward position holding decisive vote determine whether canada go accompanied wife daughter idealistic intern haiti named sovereign guibord travel across district order consult constituent group lobbyist get involved debate spin control mp face conscience internship canada biting political satire politician citizen lobbyist go headtohead tearing democracy shred film starring suzanne clment patrick huard mardy men,6.3,36.0,2.734,guibord independent member parliament represents prescottmakadewrapidesaux outardes vast county northern quebec entire country watch guibord unwillingly find awkward position holding decisive vote determine whether canada go accompanied wife daughter idealistic intern haiti named sovereign guibord travel across district order consult constituent group lobbyist get involved debate spin control mp face conscience internship canada biting political satire politician citizen lobbyist go headtohead tearing democracy shred film starring suzanne clment patrick huard mardy men
Thunder,2022,Französisch,Drama,summer 1900 switzerland elisabeth 17 take vow sudden death older sister force leave convent return family farm stifled suffocating strict rule village walking sister step uncover mystery death elisabeth slowly driven rebel local order right live life,6.077,13.0,1.846,summer switzerland elisabeth take vow sudden death older sister force leave convent return family farm stifled suffocating strict rule village walking sister step uncover mystery death elisabeth slowly driven rebel local order right live life
Bad Seeds,2016,Französisch,Drama,jacques actor run away countryside escape gambling debt meet simon rough wily farmer manipulates business relationship difficult start men help grow marijuana happen meet francesca sharp young woman soon embrace venture time get winter harvest three learned live together outside force threaten delicate balance little business,6.9,17.0,5.518,jacques actor run away countryside escape gambling debt meet simon rough wily farmer manipulates business relationship difficult start men help grow marijuana happen meet francesca sharp young woman soon embrace venture time get winter harvest three learned live together outside force threaten delicate balance little business
The Noise of the Light,2018,Französisch,Horror,pablo marius found surprising thing regarding childhood friend alice manages synthesize sound way light exposed gift gradually transformed curse becomes instrument musical experience,3.0,3.0,1.643,pablo marius found surprising thing regarding childhood friend alice manages synthesize sound way light exposed gift gradually transformed curse becomes instrument musical experience
Love in Vienna,2018,Französisch,Drama,love blossom melody assigned track reclusive pianist covince play classical christmas concert vienna,6.1,28.0,2.538,love blossom melody assigned track reclusive pianist covince play classical christmas concert vienna
Wonders in the Suburbs,2020,Französisch,Humor,political rival try sabotage new mayor eccentric plan underprivileged french municipality,3.4,21.0,1.743,political rival try sabotage new mayor eccentric plan underprivileged french municipality
La Sincérité,2020,Französisch,Humor,story three men 40 confronted limit three younger woman usurping old order gathered sun ardche shoot film happen,5.1,8.0,2.241,story three men confronted limit three younger woman usurping old order gathered sun ardche shoot film happen
Under the Rainbow,2023,Französisch,Drama,association take young lgbt people made homeless family behind apparent comedy excess desire assert lie shattered life furious desire exist find place society six month find job place live accept race time nolle run association alex help mission forced face failing question motivation helping others,6.375,16.0,6.714,association take young lgbt people made homeless family behind apparent comedy excess desire assert lie shattered life furious desire exist find place society six month find job place live accept race time nolle run association alex help mission forced face failing question motivation helping others
Blind Date,2015,Französisch,Humor,invents puzzle he committed body soul work need silence able concentrate accomplished pianist cant live without music must prepare competition could change life going forced coexist without seeing,6.439,540.0,5.821,invents puzzle committed body soul work need silence able concentrate accomplished pianist cant live without music must prepare competition could change life going forced coexist without seeing
Between Two Worlds,2022,Französisch,Drama,marianne winckler relocates port city caen order pas member large community itinerant worker desperate make end meet gain employment cleaner ferry travelling ouistreham portsmouth recording drudgery work colleague required,6.986,144.0,6.341,marianne winckler relocates port city caen order pa member large community itinerant worker desperate make end meet gain employment cleaner ferry travelling ouistreham portsmouth recording drudgery work colleague required
Anaïs in Love,2021,Französisch,Drama,young woman struggling stay top everything life meet married publisher begin affair,6.2,143.0,6.384,young woman struggling stay top everything life meet married publisher begin affair
"Destiny, My Love: Second Song",2019,Französisch,Humor,end summer vacation amin young photographer spends cozy evening charlotte exgirlfriend casanova cousin talk literature photograph nobody know see especially ophlie childhood friend instead confides trouble amin father want take family farm fianc clement return soon iraq wedding pregnant tonys baby tony want keep affair secret instead serious relationship ophlie constantly contemplates choice would better get abortion secret marry clement follow maternal instinct keep child perhaps seeking refuge amin paris,4.1,16.0,13.532,end summer vacation amin young photographer spends cozy evening charlotte exgirlfriend casanova cousin talk literature photograph nobody know see especially ophlie childhood friend instead confides trouble amin father want take family farm fianc clement return soon iraq wedding pregnant tonys baby tony want keep affair secret instead serious relationship ophlie constantly contemplates choice would better get abortion secret marry clement follow maternal instinct keep child perhaps seeking refuge amin paris
"Miraculous World: New York, United HeroeZ",2020,Französisch,Action,marinettes class headed new york city superheroes frenchamerican friendship week whole class thereexcept adrien whose father refuse let go,8.092,1083.0,36.063,marinettes class headed new york city superheroes frenchamerican friendship week whole class thereexcept adrien whose father refuse let go
Everything Went Fine,2021,Französisch,Drama,elderly father stroke emmanuelle rush bedside sick halfparalysed hospital bed asks emmanuelle help end life,6.688,149.0,12.066,elderly father stroke emmanuelle rush bedside sick halfparalysed hospital bed asks emmanuelle help end life
Suddenly,2023,Französisch,Drama,ben laura passionate volatile couple embark roundtheworld sailing adventure give relationship new start trip decide explore vast deserted island discover coast chile caught violent storm shelter abandoned whaling station night wake next morning find boat disappeared stranded hostile environment mean communication dwindling supply winter approaching must work together life death battle survival challenge feeling change relationship forever,6.394,118.0,22.504,ben laura passionate volatile couple embark roundtheworld sailing adventure give relationship new start trip decide explore vast deserted island discover coast chile caught violent storm shelter abandoned whaling station night wake next morning find boat disappeared stranded hostile environment mean communication dwindling supply winter approaching must work together life death battle survival challenge feeling change relationship forever
Des mains en or,2023,Französisch,Humor,philippe wellknown writer whose life going smoothly surgeon wife circle highranking friend parisian mansion imminent entry acadmie franaise except philippe suffers terrible back pain plague life meet incredible martha pick car accident road normandy vision world change gentle madness healing hand woman seems free especially concerned treating others even mean forgetting two character everything opposes surprising friendship woven opportunity finally seize best life offer,5.519,26.0,5.391,philippe wellknown writer whose life going smoothly surgeon wife circle highranking friend parisian mansion imminent entry acadmie franaise except philippe suffers terrible back pain plague life meet incredible martha pick car accident road normandy vision world change gentle madness healing hand woman seems free especially concerned treating others even mean forgetting two character everything opposes surprising friendship woven opportunity finally seize best life offer
The Fireflies Are Gone,2018,Französisch,Humor,sleepy town lo life doesnt offer much chance selffulfilment extricating mother influence constricting environment isnt easy frustrated young woman yet happiness might close hand stylistically precise popimpressionistic film girl quest find really featuring captivating karelle tremblay lead role,6.867,14.0,1.275,sleepy town lo life doesnt offer much chance selffulfilment extricating mother influence constricting environment isnt easy frustrated young woman yet happiness might close hand stylistically precise popimpressionistic film girl quest find really featuring captivating karelle tremblay lead role
On the Wandering Paths,2023,Französisch,Drama,pierre famous explorer writer travel regularly world someday climbing hotel frontage drunk fall high deep coma awakes difficulty walking everyones advice decides walk france following forgotten pathway,6.437,142.0,19.468,pierre famous explorer writer travel regularly world someday climbing hotel frontage drunk fall high deep coma awakes difficulty walking everyones advice decides walk france following forgotten pathway
