title,release_year,language,overview,vote_average,vote_count,popularity
French Tech,2021,Französisch,"Down-on-his-luck, unemployed Alexandre has two months to prove to his wife he can take care of his two young kids and be financially independent. Now, the thing is, although The Box, a user-friendly startup, wants to hire him on pro- bation, the company’s slogan is “No kids!” and Séverine, his future boss, is a short-tempered “killer”. So if Alexandre wants to land the job, he’s bound to lie... Will his meeting with Arcimboldo, an “entrepreneur of himself” and the king of online odd jobs, help the brave, disoriented Alexandre overcome all those challenges?",6.4,124,5.098
Family Heist,2017,Französisch,A high-profile burglar reconciles with his two daughters (half-siblings) to help him retaliate against his ex-partner who betrayed him.,5.7,215,7.79
La Colle,2017,Französisch,Poor Benjamin gets stuck in a time-loop while on detention with his high-school crush.,6.273,196,4.589
The Vets,2019,Französisch,"In the heart of Morvan, Nico, the last vet in the area, struggles to save his patients, his clinic, and his family. When Michel, his partner and mentor, announces his retirement, Nico knows that the hard part is yet to come. ""Don't worry, I've found the next generation"" Except that ... The next generation is Alexandra, a 24-hour graduate, brilliant, misanthropic, and not at all willing to return to bury herself in the village of her childhood. Will Nico manage to make her stay?",6.563,96,4.472
Russian Gas and the Nenets,2023,Französisch,"In the heart of the Arctic, the Yamal peninsula is the world’s largest gas exploitation zone, a symbol of Russia’s energy hyperpower, which caused the appetite of oil corporations. But the Yamal peninsula is also the ancestral home of the Nenets, who have been pasturing here with their droves for over 200 generations. Every year the nomads undertake a journey of 1500 km. But for how much longer can they survive? Today in Yamal, pastures have given way to gas fields. Growing towns, a railway, an airport, the deep scars on the landscape caused by extraction of gas and oil, and the new nuclear-powered icebreakers, which will create busy shipping lanes in the Arctic, are all changing the local ecosystem. With the industry dramatically modifying the landscape, accelerating the effects of global warming, the Nenets way of life is under threat. The documentary gives a unique insight into a vanishing way of life, enhanced by stunning aerial footage, and rare access to an extraordinary people.",9.0,2,6.704
Re-Births,2021,Französisch,"A documentary film depicting five intimate portraits of migrants who fled their country of origin to seek refuge in France and find a space of freedom where they can fully experience their sexuality and their sexual identity: Giovanna, woman transgender of Colombian origin, Roman, Russian transgender man, Cate, Ugandan lesbian mother, Yi Chen, young Chinese gay man…",7.4,50,3.845
Kung-Fu Zohra,2022,Französisch,"Zohra is convinced that separating from her husband Omar would break her little girl’s heart and so determines not to leave him despite the violence he metes out. Then she meets Chang Sue, the caretaker of the gym where she works to make ends meet. When she learns that he’s a kung fu master, Zohra asks him to teach her some self-defence basics…",5.412,51,5.131
Number One,2017,Französisch,"A brilliant and determined female engineer is approached by a network of powerful women with an offer to help become the head of a CAC 40 firm. The conguest, which was at first thrilling, turns to complete war with the men who still dominate.",6.2,60,7.741
Drone Games,2023,Französisch,,4.929,7,4.096
Re-belles,2023,Französisch,,9.0,1,5.148
Où est parti E.T. ? L'Enfance selon Spielberg,2023,Französisch,"How to grow up without betraying the child within us? In 1982, with ""E.T., the Extra-Terrestrial"", Steven Spielberg revolutionised popular film by creating a blockbuster about childhood. Forty years later, this universal story, filmed through a child's eyes, continues to inspire a generation who grew up enchanted by the film.",8.0,1,5.89
Kiss & Tell,2018,Französisch,"Sequel to 2002's ""Summer Things"" (Embrassez qui vous voudrez). This French comedy follows various people in two families. Bertrand and his wife, Elizabeth, are a wealthy couple who plan to vacation near the same coastal town as their friends, Jerome and Veronique, who are secretly struggling with financial problems. Meanwhile, Bertrand and his daughter, Emilie, have each been hiding a secret, and these deceptions are bound to have repercussions.",5.776,136,4.834
Eugénie Grandet,2021,Französisch,"Felix Grandet reigns supreme in his modest house in Saumur where his wife and daughter Eugenie lead a distraction-free existence. Extremely avaricious, he does not take a favorable view of the beautiful parties who rush to ask for his daughter's hand. Nothing should damage the colossal fortune he hides from everyone. The sudden arrival of Grandet's nephew, an orphaned and ruined Parisian dandy, turns the young girl's life upside down.",6.0,53,4.681
Le Syndrome,2023,Französisch,"Sophie and Julien met on the Internet. After days of written exchanges, they finally met in person for the first time. Julien is curiously quiet.",6.0,1,3.884
Nicole Kidman: Eyes Wide Open,2023,Französisch,"Over the years, Nicole Kidman, Oscar and two-time Emmy Award winner, became both a pop culture icon & a complex dramatic actress. Her career is a unique body of work that mirrors her personal life, which is more political than it might seem.",7.4,9,6.143
Dalida & Orlando: Brother and Sister Forever,2023,Französisch,"Dalida was an international star, selling over 140 million records in 10 languages. But behind her glittering career and dramatic and tragic personal life, was her ever supportive younger brother Orlando. The documentary sheds light on the professional and personal relationship between the music icon and her producer, between sister and brother.",10.0,1,5.148
"The Black Pharaoh, the Savage and the Princess",2022,Französisch,"Three tales, three ages, three worlds. At the time of Ancient Egypt, a young king becomes the first black pharaoh to deserve the hand of his loved one. During the French Middle Ages, a mysterious wild boy steals from the rich to give to the poor. In 18th-century Turkey, a prince of pastries and a princess of roses escape the palace to live their love.",6.203,32,5.308
A Kid,2016,Französisch,"Matthieu, a 33 year old Parisian who finds out that the father he never knew has died and decides to go to his funeral in order to meet his two siblings in Quebec. But once in Montréal, he realizes that nobody is aware of his existence or even interested in it. He is alone, in hostile territory…Filled with secrets,  this story about one man’s coming to term with the foreign family he never knew he had is complex with interconnected themes such as masculinity, family, paternity and filial devotion coiling in the layers underneath.",7.0,94,4.895
Ibrahim,2021,Französisch,"When teenage Ibrahim lands his father with an unexpected debt, he resolves to do whatever it takes to make amends and gain his father’s respect.",5.8,18,3.273
"Chauves, la revanche",2023,Französisch,"They take over on the fields of sport and show business. For a few years, bald people took a sensational revenge. But they had to impose themselves as they usually are targets of jokes in popular culture. For now, they show their baldness in broad daylight, or simply are comfortable with their difference. An intimate revolution, related by those who lived it.",6.0,1,3.272
Watch Me Burn,2018,Französisch,"After being bullied for months at school, 16-year-old Jonathan douses himself with gasoline and lights a match. Now, in an induced coma, his body covered in burns, his life is on hold, his parents are in shock and the school is in turmoil.",7.313,99,4.546
Blind Vaysha,2016,Französisch,"From the moment she was born, Vaysha was a very special girl. With her left eye she can only see into the past, and with her right she can only see the future. The past is familiar and safe, the future is sinister and threatening. The present is a blind spot. In captivating parabolic imagery, the award-winning animation artist Theodore Ushev illustrates the world through Vaysha’s eyes.",7.094,64,5.743
Mercy,2023,Französisch,"Ali is a 14-year-old teenager on the loose. To give him a proper education, his single mother sends him to a madrassa in Mali. When Ali comes back ten years later, he is a completely changed young man in his twenties. He has received a pious religious education and his deep knowledge of Islam makes him the perfect candidate to be the local Imam of his city, despite his young age and the doubts of his mother. His modern views and charisma quickly make him popular amongst his Muslim community, until his will to do good meets his new ambition.",5.6,13,5.743
This Is Our Land,2017,Französisch,"Pauline, a devoted and generous home help nurse, raises her two children alone, while also looking after her father, a former steelworker. Taking advantage of her popularity, the directors of an extremist political party suggest she become their candidate at the mayoral elections.",5.815,124,7.572
Charles Bronson: The Spirit of Masculinity,2020,Französisch,"With his grizzled moustache and chiselled features, Charles Bronson is the embodiment of a slightly archaic, brooding and almost reactionary virility. But who is he really?  Often hired to play marginalised Native American or Mexican characters before he was typecast as the image of a lone killer, Bronson was a major figure in the popular cinema of the 1960s and 70s and his stony-faced, physical acting and career are worthy of a second look.",7.6,8,7.616
Enquête parallèle,2023,Französisch,,6.714,7,3.341
The Children of Chance,2016,Französisch,"In the backdrop of the Nazi occupation of France, taken to the hospital for a broken leg from an accident, twelve-year-old Maurice Gutman is narrowly spared from the mass roundup that will take his family from him and leave them imprisoned in a distant death camp. At the hospital, Dr. Daviel diagnoses him with tuberculosis and imposes a long treatment, perhaps a humane ruse to prevent him from being deported. Over the course of two years, while living with the hospital staff, Maurice and eight other young boarders unforgettably experience friendship, solidarity and extraordinary courage. These are the children of luck.",6.8,43,3.262
Schlitter: Evil in the Woods,2023,Französisch,"Lucas returns to his native village lost in the mountains to bury his parents. Traumatised as a kid by the death of his best friend when he was eight, he wants to put the past behind him. However, the father of the deceased friend discovers Marc might be responsible for his son’s death and relentlessly goes after him for revenge.",5.0,8,4.621
"Hard Shell, Soft Shell",2021,Französisch,"Az works for an oyster farmer in Sète. He knows oysters by heart, he opens them by the hundreds. In one of them, Az decides to hide a ring, to ask his girlfriend Jess to marry him. She doesn't say yes. Fortunately, his band of friends are ready to do anything to help him get his head out of the water.",6.929,56,3.258
Neige,2022,Französisch,"Several notables from the Chamonix region are found murdered in their homes. To move forward with investigation, police captain Thomas Delhaye decides to release Juliette Hémon from prison, imprisoned for a strangely similar case.",5.7,13,3.255
As I Open My Eyes,2015,Französisch,"Tunis, summer 2010, a few months before the Revolution: Farah, 18 years old, has just graduated and her family already sees her as a future doctor. But she doesn't have the same idea. She sings in a political rock band, has a passion for life, gets drunk, discovers love and her city by night against the wishes of her mother Hayet, who knows Tunisia and its dangers all too well.",6.6,44,3.389
Ma France à moi,2023,Französisch,"France has been living alone in her apartment since the death of her husband. When she hears on the radio that the Singa association puts homeless migrants in contact with people who can take them in, she decides, against the advice of her family, led by her son, to take in Reza, a young Afghan broken by war and exodus. This is the story of two worlds that collide, get used to each other and end up reaching out to each other.",5.857,7,5.844
Dirty Kids,2017,Französisch,French seniors enroll in summer camp.,6.006,164,5.068
Memorable,2019,Französisch,Aging painter Louis and his wife Michelle struggle to cope with Louis' advancing dementia.,8.184,68,3.861
Premier de la classe,2019,Französisch,"Abu, 14, is his father's pride. Unlike his three brothers, he is the ""top of his class"". Well, that's what he would have you believe. In truth, Abu is, above all, the king of lies and fake school grades. When the first meeting of parents and teachers arrives, he is going to stage the biggest lie of his life: he is looking for false teachers among his acquaintances in the neighborhood to meet his real father, while his real teachers will meet a false father.",5.944,81,5.251
Loue-moi !,2017,Französisch,"Lea opens an agency where anybody can rent her to play the part the clients need: a daughter, a girlfriend, a customer, you name it...",5.55,121,5.318
Achoura,2020,Französisch,"Four childhood friends are reunited when one of them surfaces after twenty years, forcing them to confront a creature straight out of a spine-chilling Moroccan legend.",5.0,20,5.922
"John Travolta, le miraculé d'Hollywood",2017,Französisch,The gripping story of legendary American actor John Travolta: his rise to stardom in the 1970s; his agonizing fall in disgrace in the 1980s; and his stunning artistic rebirth in the 1990s.,7.3,6,5.497
The Hearing,2023,Französisch,"After crossing 11 countries irregularly to seek asylum in Canada, Peggy, Simon and their three children are waiting for the hearing that will determine whether they get refugee status or not. Having fled political repression in the Democratic Republic of the Congo, the family tries to rebuild a peaceful life in Montreal, in spite of the constant threat of deportation. Between ghosts from the past, hopes for the future, a complex legal maze and seemingly endless trial, the film delves into the struggle of the Nkunga Mbala family to remain in Canada. Offering unprecedented access to their hearing before the Immigration and Refugee Board, the film unveils the opaque process of claiming asylum in Canada.",2.0,1,3.381
BEDTIME STORY,2023,Französisch,,7.0,1,3.242
Once Upon a Time in Algeria,2023,Französisch,"The childhood of the movie director Antoine Lisner, who left Algeria in 1962. In order to present his new movie, he comes back to Algiers with his son.",5.727,11,5.453
Suis mes pas,2022,Französisch,Seven-year-old Chloé imitates her big brother Théo doing tai chi on a snowy plain. A group of starlings are watching.,0.0,0,3.239
Goodbye Vinyle,2023,Französisch,"Late 1950s in France. One woman, two men. She, Ève Faugère, a glamorous diva at the peak of her career. The man, her husband, Maurice Faugère, an immense author who made her and propelled her for years to the firmament of the song. And finally the lover, Jean Leprat, her pianist who adores her and burns with passion for her. The atrocious poison of jealousy will consume them to the point of tragedy, the trap of a Machiavellian plot will take them all three. And she, the other one, the so pretty Florence, so fresh. This ambitious young singer, ready to do anything to overthrow the one she admires, is she not also caught in the trap of a diabolical game that is beyond her? Where does the danger come from? Who is orchestrating this fatal merry-go-round engraved in the vinyl of the brand new singles that brings its poisonous message every day? Who will die? Who will survive?",5.643,7,5.569
La Maladroite,2019,Französisch,"Stella is 6 but she is going to school for the first time. Happy, exuberant (maybe too much) she is a lovely child, but is often absent. Her parents say she is fragile. She tells her teacher, Céline, she fell when asked why she has a few bruises. Is it child abuse or real immune deficiency? The doubt is growing in the mind of those who meet the child. Worried, Céline notes every injury until the day the family moves without telling anyone.",8.0,44,4.639
Ducoboo 3,2020,Französisch,"Back to school for Ducobu, Léonie Gratin and Latouche. But this year, a major rival for Ducobu arrives at school: TGV, the king of cheating 3.0. While the financial situation of Saint-Potache becomes disastrous, the two dunces will have to unite their creativity to win a song contest and save their school.",5.496,131,7.069
Thanks Boss!,2016,Französisch,"A family fired by a company owned by LVMH (Group owned by French billionaire, Bernard Arnault) seeks reparation from their previous employer with the help of the movie director.",7.3,131,7.545
15 Ways to Kill Your Neighbour,2022,Französisch,"""Drinking, dancing and... killing me. It's the new life my neighbour Jose has decided to live. What better way to escape boredom than coming to kill me every thursday? His wife, Lucie, prefers to go to a shrink. To each their own therapy.",5.171,35,3.88
Répercussions,2023,Französisch,,6.833,6,6.055
Islands,2017,Französisch,"A sexual reverie unfolds over the course of one ethereal night. Characters wander through an erotic maze of love and lust, blurring the lines between wet dream and lucid nightmare as a macabre, erotic stage performance sends a ripple of lustful desires through its audience and performers.",4.2,21,7.538
Jackie the Wolf,2023,Französisch,"Jackie Jencquel, author and activist, is not terminally ill when she announces her death date—she simply refuses to live beyond a certain age. This unconventional conversation between a mother and her son, the filmmaker, tackles desire, personal autonomy, vanity and money.",8.0,3,3.69
La Tête dans les étoiles,2023,Französisch,,6.5,12,4.723
X14,2022,Französisch,"Liz, thirty-something, lives in her appartement in the Paris suburbs with her cat and her robot butler. Somewhere between a peaceful Golddorak and a protective creature from Studio Ghibli, with a punky Mohican and two blue LED eyes, X14 looks after the home. He is a music-lover, affectionate and a tad jealous. She is tall and thin, with diaphanous skin and a limpid gaze. She is living with an artificial heart and waiting, rather hopelessly, for a transplant. A cyborg princess with a (real) heart problem. In mini shorts, black tights and a hoodie, an electronic arsenal of batteries strapped to her torso, like Lara Croft by day and Fantômette by night, the badass heroine goes on one Tinder date after another without much enthusiasm and copes with life as best she can.",0.0,0,3.226
The Restless,2021,Französisch,Leila and Damien struggle with his bipolar disorder.,6.929,91,6.303
Mélodies perdues - Une incursion des Ballets Jazz Montréal dans l’univers poétique de Patrick Watson,2022,Französisch,,0.0,0,3.574
The Love Letter,2021,Französisch,"Jonas, a 40 something Parisian, is still desperately in love with his ex-girlfriend Léa. When he knocks on her door to confess his feelings and she turns him down, he ends up at the café downstairs. Inspiration strikes and he sits down to write her a long love letter, dodging everything he was supposed to do that day. What begins as a last attempt to get her back surprisingly turns into a vivid musing on the state of his life. Over the course of a day, helped by a wisecracking bartender and an array of patrons from the neighborhood, Jonas has to face his past relationships, his uncertain future and, most of all, himself.",5.7,46,5.368
You Deserve a Lover,2019,Französisch,"Lila has just broken up with her cheating boyfriend and is disappointed, frustrated and hurt. Looking for love and intimacy, she engages in a series of short-term relationships, while her friends offer up bad advice and her ex tries to win her back.",5.865,74,7.507
Camping 3,2016,Französisch,"Like every summer, our friends, the Pics, Jacky and Laurette, Gatineau, recently divorced from Sopie, and Patrick Chirac, ever true to form, get together at the Blue Waves camping grounds. This year, Patrick has decided to try car sharing. Believing that he'll travel through France alone with Vanessa, he finds himself accompanied by three young Dijon inhabitants: smooth-talking Robert, good-looking Benji and loudmouth José. Of course, after car sharing Patrick is forced to try out bed sharing...",4.732,575,6.058
Bachar à la ZAD,2020,Französisch,,6.0,1,3.343
The Parisian Bitch,2015,Französisch,"Thirty-year-old Camilla, realizes that she doesn't have the life she deserves and decides that the only destiny worthy of her is that of a royal princess.",5.8,468,4.805
Claire Darling,2019,Französisch,"On this beautiful, bright first day of summer, Claire Darling has decided to get rid of all her estate. She’s laid down all her favourite objects on her front lawn for one splendid garage sale. As a horde of curious bystanders and neighbors fights over the ridiculously underpriced antiques, each object resurrects flashes of Claire Darling’s tragic and flamboyant life. Alerted by her childhood friends, Marie Darling, Claire’s estranged daughter, is forced to come back to the family mansion to stop this sale and unveil the reasons behind her mother’s eccentric decision.",5.3,62,5.919
Accidental Family,2017,Französisch,"Loïc Le Tallec never really took care of his son. When the latter disappears in a road accident, Loïc is devastated. He has only one idea in mind: to find the one who lives now with the heart of his son. He falls on Hugo, a young man that this brand new heart makes totally unreasonable and uncontrollable. Their meeting promises to be explosive.",5.7,83,3.797
The Monopoly of Violence,2020,Französisch,"As anger and resentment grow in the face of social inequalities, many citizens-led protests are being repressed with an ever-increasing violence. In this documentary, David Dufresne gathers a panel of citizens to question, exchange and confront their views on the social order and the legitimacy of the use of force by the State.",7.3,52,3.622
Our Futures,2015,Französisch,"Yann who is trying, albeit unsuccessfully, to cope with his life generally and especially bereavement decides to look up Thomas, his best friend from high school. Thomas is thee same crazy character as he ever was and between them they cook up a plan to rearrange Yann's birthday party from their high school days and get all their old friends to come along. This means locating their friends and a journey to visit and convince some of them to join in their plan. How their friends have changed, their lives and the revelations provide plenty of humour. But why is his friend Thomas just the same as he ever was ?",6.3,117,5.054
French Kisses,2018,Französisch,"A collection of the best gay stories France has to offer. From tales of teenage sexual awakening, to searing studies of complex adult relationships, these six films are both quintessentially French and undeniably Universal. Includes: Apollo [Apollon] (2016); Body of Angels [Le corps des anges] (2016); Electric July [Juillet électrique] (2014); Herculanum (2016); In Return [En retour] (2013); Ruptures (or André and Gabriel) [Ruptures (ou André et Gabriel)] (2016).",6.7,7,3.2
Préjudice,2015,Französisch,"A challenging psychological drama where the carefully nurtured harmony of a family is shattered one lovely summer evening. Cédric, who is generally shut away in a world of his own, doesn't react very well to the happy news of his sister’s pregnancy.",6.0,23,3.2
Night of the Kings,2021,Französisch,"A young man is sent to ""La Maca,"" a prison in the middle of the Ivorian forest ruled by its inmates. As tradition goes with the rising of the red moon, he is designated by the Boss to be the new ""Roman"" and must tell a story to the other prisoners. Learning what fate awaits him, he begins to narrate the mystical life of the legendary outlaw named ""Zama King"" and has no choice but to make his story last until dawn.",6.7,70,3.914
Iceland: The Quest for Origins,2023,Französisch,"The fascinating landscape formations of Iceland in the North Atlantic bear witness to the beauty and primal power of nature. They were created through the interaction of powerful volcanic, geological and biological processes that have been changing the face of the earth for billions of years. This is what the Earth might have looked like four billion years ago. Iceland is the realm of ice and fire. Nowhere else is there such a high density of volcanoes. The landscapes, which are continually reshaped by eruptions, make the island a natural laboratory full of clues about the formation and development of the earth. The documentary follows a group of scientists through the most active areas of Iceland, along a mountain range that has emerged from the ocean. On the slopes of the volcanoes, in the fog of the fumaroles and on streams and rivers, the three researchers explore how the first forms of life populated the earth's surface and in what evolutionary steps they took over the earth.",8.0,1,5.643
Those Who Care,2021,Französisch,"Since the cult success of Merci Patron!, activist/journalist/filmmaker François Ruffin has become an MP. Here, he attempts to table a law aimed at upholding the rights of what in Quebec are known as caregivers, and shows us in passing how a law whose need seems patently obvious is put together, debated, voted on and . . . dies on the battleground of French politics. A stirring documentary about social injustice that somehow manages to make us bust a gut laughing as we rage with indignation. And also cry at the beauty of it all, thanks to the director’s humanist sensibility and a deft play between reality and fiction.",7.6,19,3.197
Love Is Dead,2016,Französisch,,5.6,37,3.196
Fabriquer ici,2022,Französisch,,8.0,1,4.099
Jeune Femme,2017,Französisch,"Broke, with nothing but her cat to her name and doors closing in her face, Paula is back in Paris after a long absence. As she meets different people along the way, there is one thing she knows for sure: she's determined to make a new start and she'll do it with style and panache.",5.9,99,5.524
The Jolly Forgers,2023,Französisch,"Mireille Stockaert is a lonely and broken woman. In love with painting and poetry, she makes do with her work in the cafeteria of the Beaux-Arts in Namur. Her life changes when she chooses to live in the large family house she inherits. Not having the means to maintain it, she decides to take in three tenants. Three men who will upset her routine.",6.9,22,5.514
Spare Keys,2022,Französisch,"Nancy, East of France. Summertime. Seeking to escape her troublesome family environment, Sophie, 15, jumps at the chance to get the spare keys to her wealthy friend Jade's house. While enjoying the spacious home she thought deserted for summer, she bumps into her friend's older brother Stéphane, who, as fate would have it, was also planning on staying. But instead of chasing her out, Stéphane will choose to leave the door open as an invitation to a summer Sophie never expected.",6.9,36,4.651
Just Kids,2020,Französisch,"Jack, 19, Lisa, 17, and Mathis, 10, abruptly become orphans. Each sibling reacts differently to the family tragedy: Lisa spreads her wings. Jack, having just become of age is appointed as his brother’s guardian by court decision. A new life begins. But how does someone just barely out of adolescence himself become responsible for a child? And how does one construct a future when the past has become a dangerous obsession? Fortunately, youth’s strength and energy can work miracles…",6.0,13,3.191
Princess Dragon,2021,Französisch,"Bristle is a little girl raised by dragons, but when her father, Dragon, has to pay the Sorcerog using his second most valuable asset, he offers her Bristle – throwing her into an infinite sadness and forcing her to flee the family cave. Bristle then embarks on a journey to discover the world of men.",7.324,17,3.19
Immobile Stars,2023,Französisch,"Chenghua is 9 years old and has to prepare a presentation on Space with her best friend. She can’t find the time she needs, as her parents are constantly asking her to translate for them. Chenghua’s parents don’t speak French and are so dependent on their child that they don’t realise they’re putting too much weight on her shoulders. Chenghua can’t take it anymore and is looking to break away from her family. Her desire for space and her natural enthusiasm will help her take the plunge.",0.0,0,5.351
All the Gods in the Sky,2019,Französisch,"30-year-old factory worker Simon lives a solitary existence on a decrepit farm in the remote French countryside. Devoting his time to caring for his sister Estelle, who was left severely disabled when a childhood game went horribly wrong, Simon is plagued by guilt and depression. But he sees a way out, looking to otherworldly forces as a means of liberating both himself and his sister from the corporeal prisons in which they are confined.",5.803,38,3.696
"Internet, fais-moi peur !",2023,Französisch,"On April 12, 2023, 2 journalists, Evelyn Morvan and Sydney Potts, decided to report on the ""Enquêteurs de l'outre-tombe"", a famous group of investigators specializing in supernatural phenomena. They were investigating the sudden and mysterious disappearance of one of their members: Frédéric Martini.",8.0,1,4.117
Ice Scream,2023,Französisch,"Ophélie, a jaded teenager, passes her time cycling and working at the ice cream parlor of a quiet suburban town. When a mysterious woman on a motorcycle arrives in town, her mundane summer takes an unexpected turn.",0.0,0,3.185
The Art of Joy by Goliarda Sapienza: Writing for Emancipation,2023,Französisch,"Between 1967 and 1976, Italian writer Goliarda Sapienza (1924-76) wrote The Art of Joy, a subversive novel about the dazzling social ascent of a rebellious heroine; too scandalous to be published at that contradictory time.",0.0,0,5.603
Connectés,2020,Französisch,"On a Saturday night during lock down, a group of very good friends go online to share a virtual aperitif. Suddenly, one of them is attacked and kidnapped live by an unknown man in front of his friends who watch helplessly from behind their screens. They soon discover that this mysterious stranger knows all their worst secrets, which he intends to bring to light one after the other.",4.602,127,4.558
School Is Over,2018,Französisch,"Agathe Langlois, Parisian until the end of the nails well varnishes, is delighted: she is going to be confirmed as a professor of English. The happiness of the good news will not last as she learns that she is deployed to the countryside.",5.566,106,4.801
Tous avec le Maroc,2023,Französisch,,0.0,0,3.846
Starving Generation,2018,Französisch,"At 21, Zoe is sick and tired of everyone taking her for granted, just because she’s young. She dreams of a day when all millennials go on strike, so that people finally recognize their true value.",5.364,82,6.261
Midwives,2023,Französisch,"After 5 years learning the profession of midwife, “the most beautiful job in the world”, Louise and Sofia are finally entering working life and taking on huge responsibilities in a world where, at a frenetic pace, they handle with birth, motherhood and sometimes death. Will their vocation resist such a storm?",7.4,9,3.173
Joint Custody,2017,Französisch,"A wife finds out her husband has a mistress. She decides to propose her to share her life with her husband, alternating every two weeks.",5.756,260,7.405
Being 14,2015,Französisch,"The lives and turbulent adventures of a bunch of fourteen-year-old teenagers, through the eyes of three young girls - Sarah, Jade and Louise - with one last year to go before high school.",4.0,63,5.187
Green City Life,2023,Französisch,"A city that combines the benefits of the countryside with the advantages of the urban world. Manon and François, two young city dwellers, have left everything behind to travel the world in search of concrete initiatives that put nature back at the heart of cities. Between the intoxicating green columns of Mexico, the unusual production of mushrooms in dark cellars of Brussels or a fierce Japanese composting technique without odor, they discovered positive and accessible solutions that already work. Along the way, they met these ordinary people with revolutionary ideas. By linking all these solutions, they offer us their visions of what could be the beautiful city of tomorrow.",5.0,1,4.109
"Tour de Pise, l'inébranlable édifice",2022,Französisch,,8.0,2,5.377
False Confessions,2017,Französisch,"Dorante, an impoverished young man, is taken on as a secretary by Araminte, a rich widow with whom he is secretly in love. The valet Dubois does all he can to get Araminte to fall in love with Dorante. Following his staging of Marivaux’s comedy at the Odéon theater, Luc Bondy turns the whole theater building into a film studio, placing his actors in the foyer, under the stage, in the kitchens, using the most unusual and unexpected spots to invent a new dynamic between theater and film.",5.4,11,4.128
The Sea and Its Waves,2023,Französisch,"On a full moon night, the young Najwa and the musician Mansour reach Beirut. They follow the trail of smugglers to join a woman on the other side of the sea. A few streets away, Selim, the old lighthouse keeper, tries to repair the electricity of his neighborhood.",8.0,1,4.36
La Plus belle pour aller danser,2023,Französisch,"Marie-Luce Bison, 14 years old, is raised by her father in a cheerful boarding house for seniors where he is the director. It is soon the costume party of her new college: her father does not want her to go ... and anyway, she is not invited. But pushed by Albert, her 80-year-old best friend, Marie-Luce crashes the party, dressed as a man. That evening, everyone takes her for a boy... a boy who is looked at and who pleases. She then decides to invent a male double named Leo to finally live her teenage life. Of course, at home, the relationship with her father becomes complicated.",6.5,26,6.857
Caprice,2015,Französisch,An average guy meets an actress who is more beautiful than he could ever imagine. But then a pesky girl materializes to make his life a living hell. His perfect girlfriend now thinks that he is involved with this Caprice.,5.4,90,4.743
Invincible été,2023,Französisch,"Imagine bad news. Really bad news. The kind of news that calls everything into question. That's what happened to Olivier Goy one morning in December 2020. He was diagnosed with amyotrophic lateral sclerosis (ALS), also known as Charcot's disease. In one sentence, the simplified diagnosis fell: he probably had only three years to live and no treatment. But Olivier has decided to ignore this countdown. He intends to live life to the fullest, in spite of his handicap, and make the most of every second. We follow his new daily life, as a committed entrepreneur with a passion for technology, as a father concerned about preserving his cocoon, as a patient with an incurable disease.",9.0,1,3.609
Le Goût du crime,2023,Französisch,"A former starred chef, Laure Grenadier now devotes herself to her activities as a food critic for the channel she created on the Internet. She is also careful to keep her distance from her ex and father of her daughter Amandine, the police captain Nicolas Garnier as Laure has not digested the fact that he left her for a younger woman. However, when a wave of crimes strikes the restaurant owners of Lyon, Laure's resolutions are shattered. Nicolas and his new assistant Baptiste understand that Laure's position in the very closed world of Lyon's restaurant industry and the respect she inspires in the regional chefs are invaluable assets for their investigation. Emotionally involved - her uncle is the first victim - Laure lets herself be convinced to serve as their informant.",6.611,9,4.095
Le Horla,2023,Französisch,"Damien and Nadia, 34, leave Paris with Chloé, their 8-year-old daughter, to settle in the provinces. Graphic designer for an events company, the first negotiated a full-time telework to follow his partner who has just been offered a  position at the Rivière Research Institute where her friend and colleague Marion already works. The couple are expecting a child. But behind this new beginning hides a deaf threat that will soon implode the happiness of this seemingly perfect family.",5.941,17,4.838
"Andrée Putman, A Juggernaut of Design",2023,Französisch,"An icon of French taste, free and eccentric, Andrée Putman (1925–2013) imposed her unique style and shaped a generation of architects. With archival images and personal testimonials, this documentary is a beautiful tribute to one of the leading ladies of interior design.[arte.tv]",8.0,1,3.599
Cerise,2015,Französisch,"Cerise is fourteen years old but she looks twenty. Cerise grew up on the outskirts, but now she's exiled to Ukraine. Cerise wears excessive amounts of makeup, but she still has a little girl's dreams. Cerise doesn't know her father, even though she's going to have to live with him. Cerise has only ever thought about herself and now she finds herself in the middle of a revolution.",5.5,57,3.751
Mistral Spatial,2022,Französisch,"The evening of his break-up with Cath, Sam is victim of an inexplicable phenomenon where he loses consciousness for few hours later. Could his heartbreak be related to the hypothesis of an alien abduction?",7.333,3,3.148
Florida,2015,Französisch,"Although he's now eighty years old, Claude Lherminier is still as imposing as he ever was. But his bouts of forgetfulness and confusion are becoming increasingly frequent. Even so, he stubbornly refuses to admit that anything is wrong. Carole, his oldest daughter, wages a daily and taxing battle to ensure that he's not left on his own. Claude suddenly decides on a whim to go to Florida. What lies behind this sudden trip?",6.405,73,5.482
The Fool,2019,Französisch,"Pontagnac, a married man, tries to seduce Victoire, the wife of his good friend. Little does he know, Victoire has plans of her own to punish her cheating husband. The would-be fling ignites a dizzying spell of complications as characters arrange trysts, attempt to expose each other’s deceits, and are ultimately forced to come clean.",5.089,96,7.337
